agents_in_the_system,lt_difference,lower_bound,upper_bound,verifica
0,274.22078227501385,196.8508815193775,351.5906830306502,x
1,184.01126406645716,135.28356003347926,232.73896809943506,x
2,214.31852436590552,160.00275719675267,268.63429153505837,x
3,225.80332459577775,168.7150742358941,282.8915749556614,x
4,234.40327536433887,176.16089198186336,292.6456587468144,x
5,224.776303606312,167.36583457919474,282.1867726334293,x
6,211.0358942989464,155.55803437378995,266.51375422410285,x
7,211.80874382762744,156.56447608436787,267.053011570887,x
8,209.70752990528067,157.96724298639634,261.447816824165,x
9,207.9428977188893,159.40967006582954,256.476125371949,x
10,208.18305166275726,159.44583436548064,256.92026896003387,x
11,208.59714114802736,161.2301050704379,255.96417722561682,x
12,196.9042673951792,152.64072414063708,241.16781064972133,x
13,180.9978392792654,137.12022305917714,224.87545549935368,x
14,166.19000410307586,128.06646573272442,204.3135424734273,x
15,155.6642182322649,124.22245464955758,187.1059818149722,x
16,146.4445284878504,117.5888605532781,175.3001964224227,x
17,144.72456976779884,115.99599191963563,173.45314761596205,x
18,140.88242807442484,110.11622514577499,171.64863100307468,x
19,139.81217028887613,109.84366421574714,169.78067636200512,x
20,133.1889000646982,104.45363661097751,161.92416351841888,x
21,126.89849825473425,98.4256228301968,155.3713736792717,x
22,125.9067190568458,97.129759976111,154.6836781375806,x
23,128.28143565874575,102.17016429230165,154.39270702518985,x
24,123.68986687540367,100.38159600840942,146.99813774239792,x
25,127.89474793393819,104.51475088475232,151.27474498312407,x
26,127.28301053393378,102.61697026624151,151.94905080162604,x
27,127.62422381335182,103.45034273961245,151.7981048870912,x
28,128.1390895706668,103.49910810671895,152.77907103461467,x
29,127.715389864782,102.89363754704735,152.53714218251665,x
30,133.95590579509377,107.80074509242294,160.1110664977646,x
31,131.12162632045687,104.66322596312226,157.58002667779147,x
32,125.90517270000791,100.26503411572222,151.5453112842936,x
33,122.82602686000853,94.9104991880273,150.74155453198975,x
34,119.05333736283542,90.3315636916789,147.77511103399195,x
35,118.06134698273179,89.32743330130867,146.7952606641549,x
36,117.00202512104241,90.32045690478434,143.6835933373005,x
37,112.00372296799165,84.44976820135193,139.55767773463137,x
38,107.13271083745084,78.59863882571291,135.6667828491888,x
39,100.64358529723874,75.56872329523782,125.71844729923967,x
40,98.5023171136099,74.2157603572772,122.7888738699426,x
41,95.18500736648085,72.5551722989485,117.81484243401319,x
42,92.85874929202154,71.48651511732152,114.23098346672157,x
43,86.52775686865526,65.42828025738073,107.62723347992979,x
44,84.55725760985774,61.05955595361064,108.05495926610485,x
45,82.25859252765534,59.91191726500048,104.6052677903102,x
46,82.68656717665327,62.21364933334028,103.15948501996627,x
47,88.16092507374022,65.57079940584998,110.75105074163045,x
48,88.96400158139743,65.11134696680713,112.81665619598772,x
49,86.00363224036053,63.32738660754331,108.67987787317776,x
50,82.14605772323358,60.30116407142532,103.99095137504185,x
51,77.64204310134198,54.110886987340294,101.17319921534367,x
52,70.14813776827137,43.28921196944827,97.00706356709446,x
53,64.53206219526672,34.73367642554322,94.33044796499021,x
54,70.40001831522393,40.282344946490994,100.51769168395687,x
55,71.15894640422516,42.30242889687831,100.01546391157201,x
56,72.20699332616731,44.97054130244898,99.44344534988564,x
57,78.46223915828878,50.521246550228135,106.40323176634942,x
58,77.46003736100164,51.37588500716733,103.54418971483595,x
59,75.58529010131312,49.656571694975,101.51400850765124,x
60,79.536200991612,50.21237017148668,108.86003181173733,x
61,79.95064473320983,51.47242463547178,108.42886483094787,x
62,75.78301620347222,52.72282440621702,98.8432080007274,x
63,73.6685520158313,48.372194796444816,98.96490923521777,x
64,73.31437662803532,42.92102474559658,103.70772851047406,x
65,83.7642741661612,46.74360317431814,120.78494515800426,x
66,79.49056895182592,41.28135708059042,117.69978082306142,x
67,69.56798745360639,34.852058729602625,104.28391617761017,x
68,65.65109125025954,35.48102135915272,95.82116114136636,x
69,60.80187932328023,33.34437437476917,88.2593842717913,x
70,60.22565643773761,32.39881622587568,88.05249664959955,x
71,59.15734091332402,33.96290082316985,84.35178100347818,x
72,63.587545707035794,35.08851271012364,92.08657870394795,x
73,67.88927994664152,35.79461639447931,99.98394349880374,x
74,65.85406009436602,34.579858438528426,97.12826175020362,x
75,61.65834605052919,30.523479894136667,92.79321220692171,x
76,57.174802455136884,25.35889669778259,88.99070821249117,x
77,58.767650477855796,24.300511636944385,93.23478931876721,x
78,58.348396950466416,23.232720616087775,93.46407328484506,x
79,70.45592643155935,23.98930312945385,116.92254973366485,x
80,74.34866026824079,21.74984659400922,126.94747394247236,x
81,83.86338126905324,23.0473921264553,144.67937041165118,x
82,81.3901700365584,26.97306737166255,135.80727270145425,x
83,79.6045504825917,30.3133276321772,128.89577333300622,x
84,80.62952199377553,32.25313553774229,129.00590844980877,x
85,74.5281555245489,29.45710024174975,119.59921080734804,x
86,66.7113673930069,26.547757662654945,106.87497712335885,x
87,61.56457474111249,24.658393137827588,98.47075634439739,x
88,58.19737394442586,24.630858620180426,91.7638892686713,x
89,53.82761866007632,23.986141993915773,83.66909532623686,x
90,65.62698790380318,32.97014582232195,98.28382998528441,x
91,63.71004801887486,34.11382315787499,93.30627287987473,x
92,65.063500617476,36.75460395785214,93.37239727709985,x
93,58.67814454300583,31.115272736137758,86.2410163498739,x
94,56.760130344795584,24.68510632047063,88.83515436912054,x
95,54.01355273615053,21.513556517923547,86.51354895437751,x
96,67.26896716986072,31.391735254357343,103.14619908536409,x
97,60.78031701250451,28.752928985746294,92.80770503926273,x
98,49.35722815294282,24.12089202940685,74.59356427647879,x
99,49.05113183585282,24.08057996555187,74.02168370615377,x
100,47.62085624253795,24.11775858127514,71.12395390380075,x
101,49.03986471304292,22.781486900508845,75.298242525577,x
102,53.59098343819993,20.328505058604108,86.85346181779575,x
103,55.003755659325634,14.119586197288733,95.88792512136254,x
104,69.79050265567692,6.769315638154794,132.81168967319906,x
105,73.7763442301992,-2.4904898919404133,150.04317835233883,x
106,69.85580547809543,-1.7441960515832733,141.45580700777413,x
107,69.79405070914079,-0.378080247936893,139.96618166621846,x
108,65.28992776365142,0.5745167519005747,130.00533877540227,x
109,54.3739394274819,-6.178602248793467,114.92648110375727,x
110,41.73269621368854,2.4398960667669414,81.02549636061013,x
111,49.79088636523456,10.807178169927084,88.77459456054204,x
112,67.14277786690036,12.712214944159967,121.57334078964075,x
113,71.29463232497972,6.8194967958648505,135.7697678540946,x
114,73.60009971580837,5.934587024710069,141.26561240690665,x
115,66.0368197961053,6.148613163285205,125.9250264289254,x
116,64.29199349028374,-7.151543997647863,135.73553097821537,x
117,64.39940214084106,-13.65005050147711,142.44885478315922,x
118,58.49453822791975,-13.795919118036409,130.7849955738759,x
119,59.81651998440657,-22.58283062753833,142.21587059635146,x
120,81.76024396611047,-36.69630262557014,200.21679055779106,x
121,70.60456748287106,-28.746174301309026,169.95530926705115,x
122,61.2020624730676,-27.12825054473727,149.53237549087248,x
123,49.76887535240834,-39.94525352964566,139.48300423446233,x
124,41.993146070082126,-43.08580699082702,127.07209913099126,x
125,46.7803708338688,-46.6375047625865,140.1982464303241,x
126,50.37443441795616,-58.27145580082111,159.02032463673342,x
127,54.69799671321895,-68.11615822471035,177.51215165114826,x
128,59.68352500672063,-64.58084038889885,183.9478904023401,x
129,100.8409720202394,-308.12727438768627,509.8092184281651,x
130,98.01837933508205,-307.27006958474476,503.30682825490885,x
131,86.66151616750676,-225.4327893592976,398.7558216943111,x
132,102.13593849847439,-250.1094661196505,454.3813431165993,x
133,106.28602485321835,-301.6543188800476,514.2263685864843,x
134,92.68715221015282,-212.71522916003534,398.08953358034097,x
135,78.25141629473,-143.267745651593,299.77057824105304,x
136,77.06342825223237,-112.67919584743086,266.8060523518956,x
137,69.23388811635505,-46.30908016809536,184.77685640080546,x
138,50.612701079530325,-37.25363638221344,138.4790385412741,x
139,43.14072562212914,14.643018929746969,71.6384323145113,x
140,32.004593191723416,1.3135358307080303,62.6956505527388,x
141,22.850991134569995,-45.33979261525329,91.04177488439328,x
142,26.503147575411276,-92.55118433533137,145.5574794861539,x
143,30.30543264654898,-140.91976593160268,201.53063122470064,x
144,30.307246809835306,-145.20119181134996,205.81568543102057,x
145,24.487038203914835,-121.79105654974387,170.76513295757354,x
146,16.012785457490736,-77.55068318915124,109.57625410413272,x
147,11.31656030907925,-39.19289877074661,61.82601938890511,x
148,17.711383538417067,-44.86495364250961,80.28772071934375,x
149,14.61130430593721,-33.697660100451465,62.920268712325885,x
150,11.486333433227628,-20.05593266997362,43.02859953642887,x
151,6.36530585506398,-17.49449547688275,30.22510718701071,x
