agents_in_the_system,lt_difference,lower_bound,upper_bound,verifica
0,6899.833140658981,6855.577761600753,6944.08851971721,x
1,1514.74779715107,1499.4376990354754,1530.0578952666647,x
2,874.8151767088664,859.9524774661604,889.6778759515723,x
3,437.43314064851546,424.3621613993655,450.5041198976654,x
4,174.3238651068444,164.92797383241552,183.7197563812733,x
5,62.599899160581025,57.73700784925559,67.46279047190646,x
6,22.31874520437139,19.855750224339385,24.781740184403393,x
7,7.108500978948338,5.568115154875718,8.648886803020957,x
8,3.0364118159522957,2.0244101697885837,4.048413462116008,x
9,1.7188214862828073,0.8690896351896416,2.568553337375973,x
10,1.3412632177566723,0.13203860754800711,2.5504878279653376,x
11,2.0577820945492626,-0.35303663320446077,4.468600822302986,x
12,2.8161841983815066,-11.231433950441112,16.863802347204125,x
13,2.8872061523065895,,,
14,0.7670294298359295,,,
