agents_in_the_system,lt_difference,lower_bound,upper_bound,verifica
0,4547.550510410446,4472.171833410243,4622.929187410648,x
1,1857.6575944033561,1832.7443230041074,1882.5708658026049,x
2,1361.2914685651238,1340.3252366125216,1382.2577005177259,x
3,882.3164322888713,862.765287380871,901.8675771968716,x
4,542.1759098276077,521.7793009189228,562.5725187362926,x
5,316.166679504364,295.0448746697734,337.2884843389547,x
6,187.80074286500417,171.9093996987532,203.69208603125514,x
7,114.61534967893154,101.07501688198971,128.15568247587336,x
8,73.33790524830047,62.17848556441391,84.49732493218704,x
9,45.327510396567185,36.57853839170019,54.07648240143418,x
10,27.183084221915077,20.577940383470455,33.7882280603597,x
11,15.255180031321405,10.837034198262973,19.673325864379837,x
12,9.36267492810288,5.919732874909848,12.805616981295913,x
13,7.764822197299058,4.437505894242656,11.09213850035546,x
14,6.349188399106152,3.6193966251149274,9.078980173097378,x
15,5.826962485082845,1.675627949203701,9.978297020961989,x
16,6.88390731576925,1.6617409441595266,12.106073687378974,x
17,8.754223028405363,4.589810911536568,12.918635145274159,x
18,8.027894492532141,4.000048102580432,12.05574088248385,x
19,2.130384925662232,1.0795804000547804,3.1811894512696837,x
20,0.13493715044614873,-0.42914176531142756,0.699016066203725,x
