agents_in_the_system,lt_difference,lower_bound,upper_bound,verifica
0,5868.2331577006535,5814.081200373825,5922.385115027482,x
1,1726.3913169823336,1710.8376953800473,1741.9449385846199,x
2,1137.9096120608044,1120.023911104721,1155.7953130168878,x
3,661.2103960110752,644.4602101088864,677.960581913264,x
4,324.52790844362636,310.66148458734295,338.39433229990976,x
5,150.1073191116922,139.6448121950381,160.56982602834628,x
6,71.13117198711501,63.65668416267042,78.6056598115596,x
7,32.97872742567273,28.314998738452758,37.6424561128927,x
8,13.707760674129906,11.015563385417453,16.399957962842358,x
9,6.232831226018163,4.343204097602046,8.122458354434281,x
10,4.060237511262976,2.326424222788601,5.7940507997373505,x
11,2.8897801708405892,1.6560466399760971,4.123513701705082,x
12,2.0682587703328057,0.8289208975149949,3.3075966431506165,x
13,2.3364965584060884,0.28672474913630364,4.386268367675873,x
14,1.606487837771283,-0.1649107748915104,3.3778864504340764,x
15,0.3247168676109595,-0.2745283869432199,0.923962122165139,x
