File,Strategy,lambda,m1,m2,mean_W,ci_low_W,ci_high_W,L_observed,L_theoretical,L_theoretical_low,L_theoretical_high,L_difference,percentage_L_difference,little_verification
Config13,Exact_N,1.25,0.3,0.25,1.700291214073461,1.6878146605555922,1.7127677675913298,1.9930075231075781,2.125364017591826,2.1097683256944904,2.140959709489162,0.1323564944842479,6.641043395454539,False
Config14,Limited_N,1.25,0.3,0.25,0.7740488489761768,0.7627631240205219,0.7853345739318316,1.434015883740013,0.967561061220221,0.9534539050256524,0.9816682174147895,0.466454822519792,32.52787000540366,False
Config15,Exact_N,1.25,0.3,0.2,1.5572982041994468,1.545421699153785,1.5691747092451085,1.876250686244666,1.9466227552493085,1.9317771239422312,1.9614683865563856,0.07037206900464255,3.7506751907173412,False
Config16,Limited_N,1.25,0.3,0.2,0.6437163121088658,0.6341199875308137,0.653312636686918,1.3396572850135704,0.8046453901360823,0.7926499844135171,0.8166407958586475,0.5350118948774881,39.936474862827964,False
Config17,Exact_N,1.25,0.25,0.4,2.260099557823564,2.241935684005936,2.278263431641191,2.6489463700386344,2.825124447279455,2.80241960500742,2.847829289551489,0.17617807724082057,6.650873692027637,False
Config18,Limited_N,1.25,0.25,0.4,1.2947876242335854,1.275866298327376,1.313708950139795,1.9352063230106524,1.6184845302919817,1.59483287290922,1.6421361876747436,0.31672179271867074,16.366306215139797,False
Config19,Exact_N,1.25,0.25,0.3,1.7380300963899549,1.725804431280986,1.7502557614989238,2.037326952791997,2.172537620487444,2.1572555391012322,2.187819701873655,0.13521066769544676,6.63667004994712,False
Config20,Limited_N,1.25,0.25,0.3,0.7588363750102306,0.7481503260374794,0.7695224239829818,1.404459543569378,0.9485454687627882,0.9351879075468493,0.9619030299787272,0.45591407480658985,32.46188734265014,False
Config21,Exact_N,1.25,0.25,0.25,1.5899966842873683,1.5786208510165771,1.6013725175581597,1.9021699284087394,1.9874958553592104,1.9732760637707214,2.0017156469476998,0.08532592695047092,4.485715270551582,False
Config22,Limited_N,1.25,0.25,0.25,0.6215598261473826,0.6129020765858126,0.6302175757089525,1.273288854651518,0.7769497826842282,0.7661275957322657,0.7877719696361907,0.49633907196728977,38.98086990662705,False
Config23,Exact_N,1.25,0.25,0.2,1.4692795609735212,1.458214726746716,1.4803443952003263,1.8058783193951453,1.8365994512169015,1.822768408433395,1.850430494000408,0.030721131821756176,1.7011739656991844,False
Config24,Limited_N,1.25,0.25,0.2,0.522513864476594,0.5152051419065592,0.5298225870466288,1.2181567724345599,0.6531423305957424,0.644006427383199,0.662278233808286,0.5650144418388174,46.38273616536252,False
Config25,Exact_N,1.25,0.2,0.4,2.00744449818708,1.9927495159254096,2.02213948044875,2.3693278014135455,2.50930562273385,2.490936894906762,2.5276743505609374,0.13997782132030467,5.907912836577262,False
Config26,Limited_N,1.25,0.2,0.4,0.991907032208304,0.9773594861899416,1.006454578226666,1.6704364881361935,1.23988379026038,1.221699357737427,1.2580682227833326,0.4305526978758134,25.774861895899253,False
Config27,Exact_N,1.25,0.2,0.3,1.6367051744615184,1.6253936920479488,1.648016656875088,1.961731355338571,2.045881468076898,2.031742115059936,2.06002082109386,0.08415011273832729,4.289583918273254,False
Config28,Limited_N,1.25,0.2,0.3,0.6191872051579512,0.6107147569032313,0.6276596534126712,1.2758406588072266,0.773984006447439,0.7633934461290391,0.7845745667658389,0.5018566523597876,39.335370674655366,False
Config29,Exact_N,1.25,0.2,0.25,1.5109614205322377,1.500214371596196,1.521708469468279,1.839424201149626,1.888701775665297,1.875267964495245,1.9021355868353487,0.04927757451567105,2.678967390168779,False
Config30,Limited_N,1.25,0.2,0.25,0.5149649799605958,0.5080907909888339,0.5218391689323576,1.1940592874222995,0.6437062249507447,0.6351134887360423,0.652298961165447,0.5503530624715548,46.090932692265305,False
Config31,Exact_N,1.25,0.2,0.2,1.4017664137404189,1.391194546531091,1.4123382809497462,1.7663970299190581,1.7522080171755237,1.7389931831638639,1.7654228511871828,0.014189012743534457,0.8032742641208269,False
Config32,Limited_N,1.25,0.2,0.2,0.43370550234971,0.4280298928586258,0.4393811118407943,1.1213866598189637,0.5421318779371375,0.5350373660732822,0.5492263898009929,0.5792547818818262,51.65522318370909,False
Config33,Exact_N,1.0,0.4,0.4,2.612286875993325,2.589110449776709,2.635463302209942,2.415733184558878,2.612286875993325,2.589110449776709,2.635463302209942,0.19655369143444723,8.136399031598298,False
