File,Description,mean_W,ci_low_W,ci_high_W,mean_U,ci_low_U,ci_high_U,max_W,ci_low_max_W,ci_high_max_W,min_W,ci_low_min_W,ci_high_min_W,mean_utilization_Q1,ci_low_utilization_Q1,ci_high_utilization_Q1,mean_utilization_Q2,ci_low_utilization_Q2,ci_high_utilization_Q2,mean_queueLength_Q1,mean_queueLength_Q2,queueLength_Q1,queueLength_Q2
Config1,"Configuration with Strategy=0, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",1.5947207252539086,1.5750058970566512,1.614435553451166,12.071148518654491,12.051433690457234,12.090863346851748,8.511682583769,1.5750058970566512,1.614435553451166,0.021787116948,1.5750058970566512,1.614435553451166,6.713211600429645e-05,6.608595491212884e-05,6.817827709646407e-05,4.201680672268906e-05,4.148296333568163e-05,4.2550650109696495e-05,1.867749731471536,0.5,[1. 0. 1. ... 2. 1. 0.],[1. 0. 1. ... 0. 1. 0.]
Config2,"Configuration with Strategy=1, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",1.2507078460239347,1.2310089743618005,1.270406717686069,12.415161397884466,12.395462526222332,12.4348602695466,9.904281642822,1.2310089743618005,1.270406717686069,0.003998394803,1.2310089743618005,1.270406717686069,6.575486586007364e-05,6.462584547393704e-05,6.688388624621025e-05,6.872379905161155e-05,6.76071157133275e-05,6.98404823898956e-05,1.7290899526564967,0.5000343618995258,[1. 0. 1. ... 2. 3. 4.],[1. 0. 1. ... 1. 0. 1.]
Config3,"Configuration with Strategy=0, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",2.1001605961854524,2.0775833443391343,2.1227378480317705,11.565708647722948,11.54313139587663,11.588285899569266,10.51690864181,2.0775833443391343,2.1227378480317705,0.07020994391,2.0775833443391343,2.1227378480317705,6.58718134510243e-05,6.484060357601169e-05,6.690302332603692e-05,4.160426027625229e-05,4.129443836834068e-05,4.19140821841639e-05,2.029839931493314,1.1666666666666667,[1. 2. 1. ... 1. 2. 1.],[1. 2. 1. ... 2. 1. 0.]
Config4,"Configuration with Strategy=1, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)",1.3062674575293134,1.285741780132224,1.3267931349264028,12.359601786379088,12.339076108981999,12.380127463776176,10.230678172972,1.285741780132224,1.3267931349264028,0.003998394803,1.285741780132224,1.3267931349264028,6.575054244197515e-05,6.457711490079419e-05,6.692396998315612e-05,6.724949562878279e-05,6.64505089080345e-05,6.804848234953107e-05,1.613715563153396,0.9547410894418292,[1. 0. 1. ... 3. 4. 3.],[1. 2. 1. ... 0. 1. 2.]
Config5,"Configuration with Strategy=0, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",1.5947207252539086,1.5750058970566512,1.614435553451166,16.07114851865449,16.05143369045723,16.090863346851748,8.511682583769,1.5750058970566512,1.614435553451166,0.021787116948,1.5750058970566512,1.614435553451166,6.713211600429645e-05,6.608595491212884e-05,6.817827709646407e-05,4.201680672268906e-05,4.148296333568163e-05,4.2550650109696495e-05,1.867749731471536,0.5,[1. 0. 1. ... 2. 1. 0.],[1. 0. 1. ... 0. 1. 0.]
Config6,"Configuration with Strategy=1, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",1.2507078460239347,1.2310089743618005,1.270406717686069,16.415161397884464,16.39546252622233,16.434860269546597,9.904281642822,1.2310089743618005,1.270406717686069,0.003998394803,1.2310089743618005,1.270406717686069,6.575486586007364e-05,6.462584547393704e-05,6.688388624621025e-05,6.872379905161155e-05,6.76071157133275e-05,6.98404823898956e-05,1.7290899526564967,0.5000343618995258,[1. 0. 1. ... 2. 3. 4.],[1. 0. 1. ... 1. 0. 1.]
Config7,"Configuration with Strategy=0, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",2.1001605961854524,2.0775833443391343,2.1227378480317705,15.565708647722948,15.54313139587663,15.588285899569266,10.51690864181,2.0775833443391343,2.1227378480317705,0.07020994391,2.0775833443391343,2.1227378480317705,6.58718134510243e-05,6.484060357601169e-05,6.690302332603692e-05,4.160426027625229e-05,4.129443836834068e-05,4.19140821841639e-05,2.029839931493314,1.1666666666666667,[1. 2. 1. ... 1. 2. 1.],[1. 2. 1. ... 2. 1. 0.]
Config8,"Configuration with Strategy=1, N=3, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",1.3062674575293134,1.285741780132224,1.3267931349264028,16.359601786379088,16.339076108982,16.380127463776176,10.230678172972,1.285741780132224,1.3267931349264028,0.003998394803,1.285741780132224,1.3267931349264028,6.575054244197515e-05,6.457711490079419e-05,6.692396998315612e-05,6.724949562878279e-05,6.64505089080345e-05,6.804848234953107e-05,1.613715563153396,0.9547410894418292,[1. 0. 1. ... 3. 4. 3.],[1. 2. 1. ... 0. 1. 2.]
Config9,"Configuration with Strategy=0, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",1.5947207252539086,1.5750058970566512,1.614435553451166,18.07114851865449,18.05143369045723,18.090863346851748,8.511682583769,1.5750058970566512,1.614435553451166,0.021787116948,1.5750058970566512,1.614435553451166,6.713211600429645e-05,6.608595491212884e-05,6.817827709646407e-05,4.201680672268906e-05,4.148296333568163e-05,4.2550650109696495e-05,1.867749731471536,0.5,[1. 0. 1. ... 2. 1. 0.],[1. 0. 1. ... 0. 1. 0.]
Config10,"Configuration with Strategy=1, N=2, lambda=1.25s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",1.2507078460239347,1.2310089743618005,1.270406717686069,18.415161397884464,18.39546252622233,18.434860269546597,9.904281642822,1.2310089743618005,1.270406717686069,0.003998394803,1.2310089743618005,1.270406717686069,6.575486586007364e-05,6.462584547393704e-05,6.688388624621025e-05,6.872379905161155e-05,6.76071157133275e-05,6.98404823898956e-05,1.7290899526564967,0.5000343618995258,[1. 0. 1. ... 2. 3. 4.],[1. 0. 1. ... 1. 0. 1.]
