File,Description
Config892,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config901,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config902,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config911,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config912,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config921,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config922,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config931,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config932,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config941,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config942,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config951,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config952,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config961,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config962,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config971,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config972,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config981,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config982,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config991,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config992,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1001,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1002,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1011,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1012,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1021,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1022,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1031,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1032,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1041,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1042,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1051,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1052,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1061,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1062,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1071,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1072,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.25s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1081,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1082,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1091,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1092,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1101,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1102,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1111,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1112,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1121,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1122,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1131,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1132,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1141,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1142,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1151,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1152,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1161,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1162,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1171,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1172,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1181,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1182,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1191,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1192,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1201,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1202,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1211,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1212,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1221,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1222,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1231,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1232,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1241,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1242,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1251,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1252,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1261,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1262,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1271,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1272,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1281,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1282,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1291,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1292,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1301,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1302,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1311,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1312,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1321,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1322,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1331,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1332,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1341,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1342,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1351,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1352,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1361,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1362,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1371,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1372,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1381,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1382,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1391,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1392,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1401,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1402,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1411,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1412,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1421,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1422,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1431,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1432,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.2s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1441,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1442,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1451,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1452,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1461,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1462,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1471,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1472,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1481,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1482,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1491,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1492,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1501,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1502,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1511,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1512,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1521,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1522,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1531,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1532,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1541,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1542,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1551,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1552,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1561,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1562,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1571,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1572,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1581,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1582,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1591,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1592,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1601,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1602,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1611,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1612,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1621,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1622,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1631,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1632,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1641,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1642,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1651,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1652,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1661,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1662,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1671,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1672,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1681,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1682,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1691,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1692,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config1701,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1702,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config1711,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1712,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config1721,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1722,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config1731,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1732,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config1741,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1742,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config1751,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1752,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config1761,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1762,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config1771,"Configuration with Strategy=0, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config1772,"Configuration with Strategy=1, N=1, lambda=1.4s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
