File,Description
Config201,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config202,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config211,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config212,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config221,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config222,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config231,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config232,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config241,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config242,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config251,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config252,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config261,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config262,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.25s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
