File,lambda,m1,m2,L_theoretical_80,L_observed,L_theoretical_low_80,L_theoretical_high_80,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,21.354488706670995,21.67399468391384,
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.371067139094832,2.417277016723213,
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.698788755537333,1.7328266593433328,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.32587102261747,1.3536461277982617,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.331720776403618,2.3764296502213207,
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.1969218502529155,1.2197832109762206,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.9583377808270032,0.9767843416134387,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.7968027754458001,0.8124880048263644,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.603021040598115,1.6339480199858487,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.9398122747182216,0.9572786628073549,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.7698742202286141,0.7840253451398425,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.6471692630396442,0.6591153981518407,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.2279947804317606,1.2517728000889992,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.7670598818407024,0.7809081310541757,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.6380882808123173,0.6493241690891721,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.5374934751810568,0.5467702806932182,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.4774774199734717,1.509415079306153,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,1.0051221293189607,1.0271739286536394,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.8635488165308826,0.882906549798531,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.7563875085216604,0.7739117577997902,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.9742724898856264,0.9945319313037506,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.7105350162888006,0.7250217174872661,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.6198878005595265,0.632529230995075,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.545688395917462,0.557015674970874,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.8289742497703443,0.8459763405943452,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.6140105330659139,0.6260555582814745,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.5356222457436253,0.5459628684466717,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4693428898131918,0.4784369852170456,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.720965585557915,0.7358237454039976,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.5373347571130953,0.5477805794271942,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4674003961826742,0.476245947624945,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.4060704758755412,0.413640750352932,
