File,lambda,m1,m2,L_theoretical_85,L_observed,L_theoretical_low_85,L_theoretical_high_85,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,18.287105440998555,24.74137794958628,X
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.035046266222669,2.753297889595376,X
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.458436551324283,1.973178863556383,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.138794788926686,1.5407223614890462,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.000963931315599,2.7071864953093394,X
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.0270996510223827,1.389605410206753,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.8224269020371877,1.1126952204032543,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.6839485816156698,0.9253421986564947,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.3757118507481845,1.8612572098357791,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.80626364844837,1.0908272890772066,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.6604073152815939,0.8934922500868625,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.5551709810063811,0.7511136801851038,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.0539012217213228,1.425866358799437,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.6578864054803233,0.8900816074145548,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.547150291208133,0.7402621586933564,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.4608120962465668,0.6234516596277082,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.2694293121938405,1.7174631870857842,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,0.863725824638355,1.1685702333342451,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.7422435306900007,1.0042118356394127,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.6503771881866165,0.879922078134834,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.8367418790054852,1.132062542183892,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.6101116118548283,0.8254451219212383,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.5322772384107056,0.7201397931438959,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.4686492301275428,0.6340548407607932,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.7118540009049931,0.9630965894596965,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.5270280888226401,0.7130380025247484,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.4596736735308762,0.6219114406594208,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4028064468878509,0.5449734281423866,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.6191354656588128,0.8376538653030998,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.461174018029623,0.6239413185106665,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4010496961182381,0.5425966476893811,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.3483772711471011,0.4713339550813721,
