File,lambda,m1,m2,L_theoretical_95,L_observed,L_theoretical_low_95,L_theoretical_high_95,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,21.269896862475907,21.75858652810893,
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,2.3588327011556705,2.429511454662375,
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.6897769458752814,1.7418384690053845,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.3185173394218368,1.3609998109938948,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,2.3198837408040074,2.3882666858209314,
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,1.1908691205481676,1.2258359406809685,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.9534539050256524,0.9816682174147895,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.7926499844135171,0.8166407958586475,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.59483287290922,1.6421361876747436,
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.9351879075468493,0.9619030299787272,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.7661275957322657,0.7877719696361907,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.644006427383199,0.662278233808286,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,1.221699357737427,1.2580682227833326,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.7633934461290391,0.7845745667658389,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.6351134887360423,0.652298961165447,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.5350373660732822,0.5492263898009929,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.4690210755523276,1.5178714237272968,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,0.9992833291633972,1.033012728809203,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.8584233419925414,0.8880320243368721,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.7517474976155949,0.7785517687058556,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.96890826414112,0.9998961570482572,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.7066992769948108,0.7288574567812558,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.6165406457594395,0.635876385795162,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.5426891976345735,0.5600148732537625,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.8244724941974116,0.8504780961672779,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.6108212924041878,0.6292447989432006,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.5328842909613041,0.5487008232289929,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.4669349862742171,0.4808448887560203,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.7170314927111573,0.7397578382507554,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.5345689479368511,0.5505463886034384,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.4650583012654601,0.4785880425421591,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.4040660444400195,0.4156451817884538,
