L_theoretical_90,L_observed,L_theoretical_low_90,L_theoretical_high_90,Verification
21.514,21.072,21.309,21.719,
2.394,2.59,2.365,2.424,
1.716,2.062,1.694,1.738,
1.34,1.802,1.322,1.358,
2.354,2.536,2.325,2.383,
1.208,1.595,1.194,1.223,
0.968,1.434,0.956,0.979,
0.805,1.34,0.795,0.815,
1.618,1.935,1.599,1.638,
0.949,1.404,0.937,0.96,
0.777,1.273,0.768,0.786,
0.653,1.218,0.645,0.661,
1.24,1.67,1.225,1.255,
0.774,1.276,0.765,0.783,
0.644,1.194,0.636,0.651,
0.542,1.121,0.536,0.548,
1.493,1.816,1.473,1.514,
1.016,1.477,1.002,1.03,
0.873,1.4,0.861,0.886,
0.765,1.36,0.754,0.776,
0.984,1.429,0.971,0.997,
0.718,1.238,0.708,0.727,
0.626,1.189,0.618,0.634,
0.551,1.165,0.544,0.559,
0.837,1.322,0.827,0.848,
0.62,1.178,0.612,0.628,
0.541,1.114,0.534,0.547,
0.474,1.097,0.468,0.48,
0.728,1.263,0.719,0.738,
0.543,1.142,0.536,0.549,
0.472,1.076,0.466,0.477,
0.41,1.063,0.405,0.415,
