L_theoretical_95,L_observed,L_theoretical_low_95,L_theoretical_high_95,Verification
21.514,21.072,21.27,21.759,
2.394,2.59,2.359,2.43,
1.716,2.062,1.69,1.742,
1.34,1.802,1.319,1.361,
2.354,2.536,2.32,2.388,
1.208,1.595,1.191,1.226,
0.968,1.434,0.953,0.982,
0.805,1.34,0.793,0.817,
1.618,1.935,1.595,1.642,
0.949,1.404,0.935,0.962,
0.777,1.273,0.766,0.788,
0.653,1.218,0.644,0.662,
1.24,1.67,1.222,1.258,
0.774,1.276,0.763,0.785,
0.644,1.194,0.635,0.652,
0.542,1.121,0.535,0.549,
1.493,1.816,1.469,1.518,
1.016,1.477,0.999,1.033,
0.873,1.4,0.858,0.888,
0.765,1.36,0.752,0.779,
0.984,1.429,0.969,1.0,
0.718,1.238,0.707,0.729,
0.626,1.189,0.617,0.636,
0.551,1.165,0.543,0.56,
0.837,1.322,0.824,0.85,
0.62,1.178,0.611,0.629,
0.541,1.114,0.533,0.549,
0.474,1.097,0.467,0.481,
0.728,1.263,0.717,0.74,
0.543,1.142,0.535,0.551,
0.472,1.076,0.465,0.479,
0.41,1.063,0.404,0.416,
