File,lambda,m1,m2,L_theoretical_80,L_observed,L_theoretical_low_80,L_theoretical_high_80,Verification
Config2,1.25,0.4,0.4,21.51424169529242,21.072197154658674,17.211393356233934,25.8170900343509,X
Config4,1.25,0.4,0.3,2.3941720779090225,2.590469398712977,1.915337662327218,2.8730064934908266,X
Config6,1.25,0.4,0.25,1.715807707440333,2.0624057857658773,1.3726461659522666,2.0589692489283995,
Config8,1.25,0.4,0.2,1.339758575207866,1.8017477030275533,1.071806860166293,1.607710290249439,
Config10,1.25,0.3,0.4,2.3540752133124694,2.536445348569758,1.8832601706499754,2.824890255974963,X
Config12,1.25,0.3,0.3,1.208352530614568,1.594586380432958,0.9666820244916545,1.4500230367374813,
Config14,1.25,0.3,0.25,0.967561061220221,1.434015883740013,0.7740488489761768,1.161073273464265,
Config16,1.25,0.3,0.2,0.8046453901360823,1.3396572850135704,0.6437163121088658,0.9655744681632987,
Config18,1.25,0.25,0.4,1.6184845302919817,1.9352063230106524,1.2947876242335854,1.9421814363503782,X
Config20,1.25,0.25,0.3,0.9485454687627882,1.404459543569378,0.7588363750102306,1.138254562515346,
Config22,1.25,0.25,0.25,0.7769497826842282,1.273288854651518,0.6215598261473825,0.9323397392210739,
Config24,1.25,0.25,0.2,0.6531423305957424,1.2181567724345599,0.522513864476594,0.7837707967148909,
Config26,1.25,0.2,0.4,1.23988379026038,1.6704364881361935,0.991907032208304,1.4878605483124558,
Config28,1.25,0.2,0.3,0.773984006447439,1.2758406588072266,0.6191872051579512,0.9287808077369268,
Config30,1.25,0.2,0.25,0.6437062249507447,1.1940592874222995,0.5149649799605958,0.7724474699408935,
Config32,1.25,0.2,0.2,0.5421318779371375,1.1213866598189637,0.43370550234971,0.6505582535245651,
Config34,1.0,0.4,0.4,1.4934462496398122,1.8155294629351244,1.19475699971185,1.7921354995677743,
Config36,1.0,0.4,0.3,1.0161480289863,1.4765318963804468,0.8129184231890401,1.21937763478356,
Config38,1.0,0.4,0.25,0.8732276831647068,1.4004547780880636,0.6985821465317654,1.047873219797648,
Config40,1.0,0.4,0.2,0.7651496331607253,1.360491712401612,0.6121197065285803,0.9181795597928702,
Config42,1.0,0.3,0.4,0.9844022105946886,1.4290973433022287,0.787521768475751,1.1812826527136262,
Config44,1.0,0.3,0.3,0.7177783668880333,1.238092948183699,0.5742226935104267,0.86133404026564,
Config46,1.0,0.3,0.25,0.6262085157773007,1.1893949093701386,0.5009668126218406,0.7514502189327609,
Config48,1.0,0.3,0.2,0.551352035444168,1.1653053947724867,0.4410816283553344,0.6616224425330016,
Config50,1.0,0.25,0.4,0.8374752951823448,1.3217469735379694,0.6699802361458759,1.0049703542188138,
Config52,1.0,0.25,0.3,0.6200330456736942,1.1777116666142122,0.4960264365389554,0.744039654808433,
Config54,1.0,0.25,0.25,0.5407925570951485,1.1135079301519712,0.4326340456761188,0.6489510685141782,
Config56,1.0,0.25,0.2,0.4738899375151187,1.096883666003651,0.3791119500120949,0.5686679250181425,
Config58,1.0,0.2,0.4,0.7283946654809563,1.2629288064469981,0.5827157323847652,0.8740735985771475,
Config60,1.0,0.2,0.3,0.5425576682701447,1.1415689733760506,0.4340461346161158,0.6510692019241736,
Config62,1.0,0.2,0.25,0.4718231719038096,1.0759835239145152,0.3774585375230477,0.5661878062845715,
Config64,1.0,0.2,0.2,0.4098556131142366,1.0627558491852152,0.3278844904913893,0.4918267357370839,
